S1_ZINDO,S1_TDDFT,S1_ML
4.0223,5.4236,5.12633930853373
3.3079,3.7283,3.76533870624344
3.4178,3.7419,3.69874726635458
3.4844,4.114,4.15334916672161
4.2061,5.1913,5.04283440524241
3.0328,4.0072,3.91884090684733
3.898,5.4103,4.90176904995287
3.1021,3.7325,3.6358799626862
3.2312,3.4654,4.12525984735841
3.259,3.7441,4.30069430470685
2.8416,3.3693,3.75713237844565
2.5924,3.1433,3.12717408595498
3.3094,4.0483,4.13505016092771
3.679,4.4866,4.55156315135925
3.278,4.0199,4.23727597692978
3.5872,4.432,4.49515885674948
3.4277,4.4537,4.46286539904895
3.9086,5.1681,5.1588876759132
3.3153,3.4369,3.88231409675981
3.6804,4.5708,4.59895712506972
3.7597,4.3057,4.51475358770159
3.5358,4.0211,4.49773118238916
2.8195,3.3839,3.16907523455018
3.0439,4.2412,3.9385253907824
3.4004,4.475,4.4999657749304
2.9715,3.077,3.32443297955233
3.0371,3.7182,3.90568053329095
2.6094,3.2257,3.24413107994541
3.2073,3.2989,3.71248419389927
2.967,3.0028,3.60372992507903
4.0859,5.4955,5.19807116794697
3.2994,3.9367,4.08022475046572
3.2599,4.0601,4.31405828107586
2.9349,3.8908,3.73188113793564
3.4586,4.6218,4.53429398217337
2.6168,3.4139,3.37697626809011
2.4962,3.3442,3.34047019880636
2.765,3.2076,3.25754860505786
2.9749,3.6097,3.77869362410575
4.2383,5.1538,4.91888109393327
4.0134,5.0504,5.1883647401104
3.4682,4.1591,4.13127709101912
3.4609,4.2233,4.2891183006878
4.1717,4.479,4.56350755492996
2.8395,2.8862,3.19379569326446
3.5413,4.3664,4.29142955632331
3.9142,5.0747,4.7881296716487
2.4396,3.3818,3.26989790684732
3.251,3.8625,3.75931629470622
3.7385,5.0575,5.17073920830993
4.3185,4.5923,5.01014945489214
2.7921,3.3705,3.79030390819229
2.825,3.4736,3.53896614504818
2.9169,4.0449,4.03976841625145
3.4464,3.8456,4.10083531630226
3.005,3.7709,3.36381295588763
3.5859,4.9069,4.80517269048006
1.9497,2.4797,2.43260582193465
2.7689,3.3325,3.6729257087368
2.5147,3.3834,3.3712060785661
3.2253,3.9067,4.10804510019753
2.7189,3.8416,4.00283494888314
3.0889,3.5089,4.37868497838989
2.768,3.715,3.8644292309692
2.12,2.5108,2.65492432859408
3.0782,3.6868,3.57872565080766
2.504,3.2639,3.4588098293804
2.4907,3.3962,3.38484860580308
3.6213,4.7755,4.53241300679892
2.5131,3.3181,3.29969176364823
3.0138,3.5559,3.75387007284764
2.8471,3.6377,3.6876652529194
3.2309,3.8676,4.01979835815693
2.4997,3.352,3.34385184259443
2.4247,2.9796,3.1944234559757
2.9352,3.7786,3.78301645484063
2.5037,3.2876,3.20977844812059
3.1417,3.9236,3.44767819908763
3.0205,3.8098,4.00149317322415
3.2243,4.265,4.30736855273778
3.1769,4.1215,3.814096588081
2.9833,3.7437,3.86395118293553
2.8907,2.7949,2.92076050899101
2.7222,3.4174,3.37406806541316
3.1944,4.1027,3.87842761552698
2.7409,3.4021,3.50913755328302
3.7603,4.834,4.63051451268599
3.6617,4.2553,4.25567318447988
3.3999,4.176,4.13846160859975
2.5036,3.4546,3.38897057612248
3.4199,4.8133,4.29788867544248
3.6313,4.2471,4.1326127098215
2.4932,3.3428,3.36700966884268
2.493,3.3429,3.63250188536566
3.621,4.2729,4.18460626952099
3.7258,4.3661,4.42143117011793
4.1598,5.3187,5.23185661944259
3.3771,4.4738,4.42626161068457
2.4974,3.1412,3.2898420423551
2.1526,3.3427,3.21341590132491
3.5655,4.1291,4.2201376164436
3.6365,4.4518,4.63413274784271
3.974,4.0989,4.58028866395396
